decimalLatitude,decimalLongitude,year
37.744081,-25.639354,2022.0
43.334199,5.029053,2023.0
43.185598,5.390622,2023.0
37.005392,-8.93487,2023.0
37.004356,-8.934598,2023.0
37.012786,-8.930147,2023.0
43.42956,4.938148,2023.0
43.228742,5.348033,2023.0
37.005388,-8.935497,2023.0
43.429967,4.936392,2023.0
37.005617,-8.937998,2023.0
37.046576,-8.879048,2023.0
37.045974,-8.879343,2023.0
37.004914,-8.934591,2023.0
37.046378,-8.878888,2023.0
37.008489,-8.926365,2023.0
37.025905,-8.966346,2023.0
37.013026,-8.929751,2023.0
37.013083,-8.929726,2023.0
37.005106,-8.934703,2023.0
37.011627,-8.930447,2023.0
37.046576,-8.879049,2023.0
37.011606,-8.93044,2023.0
43.327424,5.048123,2023.0
43.1851,5.389419,2023.0
43.334713,5.029392,2023.0
36.748292,-3.806629,2023.0
36.696697,-3.460713,2022.0
43.213764,5.3249,2022.0
36.514972,-6.28438,2023.0
36.727909,-3.735845,2023.0
37.011892,-8.930175,2022.0
37.010989,-8.930328,2022.0
43.32846,5.099752,2023.0
37.096802,-8.666348,2022.0
35.907437,-5.480822,2023.0
36.005277,-5.608454,2023.0
36.506353,-4.64448,2023.0
36.087273,-5.784497,2022.0
-30.0602,153.203,1998.0
33.801263,134.669008,2009.0
43.228855,5.348247,2023.0
36.683323,-2.70086,2023.0
43.332779,5.198092,2023.0
43.424697,3.70003,2022.0
43.246326,5.368708,2022.0
43.228855,5.348338,2023.0
43.425121,3.699376,2022.0
43.428045,4.93898,2022.0
33.8,134.67,
43.428298,4.938698,2022.0
37.106081,129.376375,2020.0
38.009119,128.731553,2018.0
38.213669,128.602106,2018.0
37.106081,129.376375,2018.0
36.474842,129.489069,2014.0
33.866633,126.313669,2013.0
37.126764,129.409061,2014.0
36.656219,129.730636,2014.0
36.767619,129.708633,2014.0
36.683131,129.724383,2014.0
38.273097,128.557286,2013.0
36.137231,129.398339,2005.0
37.288333,129.324722,2022.0
37.240103,131.868319,2013.0
35.215683,129.225067,2017.0
33.9577,126.300456,2017.0
33.955889,126.340889,2017.0
34.297233,126.702261,2018.0
38.164089,128.609053,2013.0
37.868689,128.847253,2009.0
34.643169,128.568264,2011.0
34.579461,128.549531,2011.0
34.630458,128.550175,2011.0
37.239664,131.867833,2021.0
36.708989,126.111064,2013.0
36.989344,129.414683,2013.0
35.224639,129.227617,2013.0
35.152578,129.118442,2013.0
37.890972,128.832853,2013.0
37.262956,129.331286,2013.0
35.989797,129.555881,2013.0
38.355911,128.511833,2015.0
33.268964,126.673861,2015.0
37.994619,128.74215,2015.0
33.434761,126.918758,2015.0
34.731294,127.954039,2015.0
35.806594,129.506244,2016.0
36.026028,129.577269,2015.0
33.956097,126.330917,2014.0
38.022906,128.734861,2014.0
33.962414,126.296422,2014.0
35.215683,129.225067,2014.0
35.62845,129.442683,2015.0
33.424156,126.931231,2015.0
35.628297,126.467944,2015.0
37.734592,128.99075,2014.0
37.515228,129.126367,2014.0
37.239464,131.865375,2021.0
33.460111,126.92565,2013.0
33.224269,126.567858,2012.0
37.526722,130.937069,2013.0
37.962006,128.768517,2013.0
35.815625,129.512919,2014.0
34.041356,127.304797,2016.0
37.526889,130.829611,2013.0
34.065778,125.12925,2021.0
37.507361,130.914292,2022.0
37.239022,131.867761,2022.0
37.449956,130.874511,2019.0
37.532028,130.939225,2019.0
35.989906,129.56595,2022.0
37.173983,129.3444,2022.0
43.328416,5.042393,2019.0
43.329224,5.043809,2022.0
43.389087,4.989264,2022.0
37.111349,-8.657747,2022.0
37.005451,-8.939418,2022.0
43.421807,3.70605,2022.0
43.213613,5.325191,2021.0
43.401635,3.726021,2021.0
43.424547,3.700258,2021.0
43.210347,5.3321,2022.0
43.200949,5.354876,2022.0
28.062921,-15.417531,2022.0
33.725,131.703,1988.0
33.9417,132.645,1987.0
-41.172435,144.67813,1980.0
31.316944,-113.556389,1972.0
35.691667,140.866667,1971.0
35.70603,140.86739,1971.0
22.90306,-109.84225,1972.0
35.95,135.983333,1971.0
-30.30439,153.15126,1982.0
43.32853,5.043541,2022.0
36.823643,-2.446778,2022.0
43.377933,4.843807,2021.0
43.17602,5.403091,2022.0
43.22884,5.348011,2022.0
43.550663,4.007928,2022.0
43.21,5.55,
43.428082,4.937986,2022.0
43.328677,5.044131,2022.0
-38.05,140.666667,
43.246006,5.368462,2022.0
43.22816,5.347824,2022.0
43.428228,4.939449,2022.0
43.210701,5.350967,2022.0
43.334671,5.029638,2021.0
43.228907,5.347893,2022.0
43.411978,4.974028,2021.0
43.411865,4.973713,2021.0
43.428289,4.939561,2022.0
43.210962,5.351302,2021.0
43.199449,5.355048,2021.0
43.167706,3.182513,2021.0
33.983867,126.351064,2020.0
43.228259,5.346949,2021.0
34.696072,128.031356,2012.0
35.812022,129.510269,2012.0
37.558806,129.120383,2012.0
37.267033,129.328808,2012.0
37.247775,131.863786,2017.0
37.486911,130.920978,2017.0
37.544778,130.930333,2017.0
34.302039,125.95585,2012.0
34.450236,127.785417,2012.0
34.758856,128.507167,2012.0
34.402944,126.646958,2012.0
33.213914,126.519303,2012.0
34.048547,127.318336,2012.0
33.947014,126.320097,2012.0
34.027611,127.307111,2010.0
37.6595,125.689817,2013.0
37.950967,124.656028,2013.0
37.054811,129.423972,2013.0
35.161039,129.194497,2013.0
33.228853,126.309128,2013.0
33.312778,126.147594,2013.0
34.306689,126.694289,2013.0
33.477681,126.393072,2013.0
33.943361,126.312217,2013.0
33.956083,126.330917,2014.0
33.43475,126.91875,2015.0
35.628444,129.442694,2015.0
35.628306,126.467944,2015.0
35.215694,129.225056,2014.0
36.989333,129.414694,2013.0
38.355917,128.511833,2015.0
33.215556,126.515833,2011.0
33.231944,126.518611,2011.0
33.2275,126.567778,2011.0
37.263917,129.327686,2012.0
34.090511,125.116908,2012.0
34.395861,126.275819,2012.0
34.306689,126.694289,2012.0
35.806314,129.508717,2012.0
37.844542,128.873767,2012.0
38.278136,128.553322,2012.0
36.000358,129.456547,2012.0
37.805394,128.909117,2012.0
34.861853,128.726364,2012.0
37.290669,129.317664,2017.0
33.458717,126.935594,2005.0
36.325128,126.499689,1992.0
36.677117,129.731428,2006.0
37.245897,131.863081,2018.0
33.405556,126.231111,2012.0
35.218389,129.230597,2013.0
33.227567,126.5678,2016.0
33.498328,126.443436,2012.0
33.495464,126.425936,2012.0
36.081542,129.559733,2012.0
33.551261,126.691547,2012.0
37.729947,128.978461,2012.0
37.977278,128.7601,2012.0
33.231564,126.517219,2011.0
33.346303,126.178317,2011.0
33.543683,126.665153,2011.0
36.185472,129.381861,2013.0
37.239572,131.8679,2013.0
33.515169,126.949169,2013.0
36.010208,129.4718,2012.0
34.903539,128.189878,2012.0
33.22605,126.563167,2011.0
33.501722,126.451722,2019.0
34.083333,127.270556,2016.0
33.564128,126.779314,2019.0
32.106239,125.172197,2016.0
33.938889,124.595556,2016.0
34.6915,127.794444,2019.0
37.247775,131.863786,2014.0
34.168989,126.862408,2011.0
34.173383,126.856733,2011.0
34.306689,126.694289,2010.0
33.564981,126.779578,2011.0
35.219289,129.221056,2012.0
33.228217,126.599181,2016.0
33.564981,126.779578,2010.0
33.234714,126.562658,2012.0
37.429622,129.320814,2013.0
37.894161,128.834039,2013.0
33.177194,126.276064,2013.0
33.496739,126.968464,2013.0
37.24255,131.866639,2013.0
37.742025,128.984528,2013.0
36.509203,126.3323,2013.0
35.979658,129.555081,2013.0
36.084531,129.551736,2013.0
